Type	Var1	Var2	pPerm	pPearson	rPearson
Outlier:Both	cell_wall_macromolecule_biosynthetic_process	nucleobase__nucleoside_and_nucleotide_biosynthetic_process	0.0	2.02233438731e-121	0.953650733398
Outlier:Both	cofactor_metabolic_process	heterocycle_metabolic_process	0.0	4.47180212114e-91	0.912892868451
Outlier:Both	cell_wall_biogenesis	primary_metabolic_process	0.0	1.02700364765e-96	0.922617432227
Outlier:Both	biosynthetic_process	pyruvate_metabolic_process	0.0	1.44880109306e-119	0.95184520553
Outlier:HAllA	establishment_of_protein_localization	response_to_starvation	0.0	0.83864466212	0.0134701655379
Outlier:Both	aminoglycan_biosynthetic_process	biosynthetic_process	0.0	8.97076457607e-99	0.925879228701
Outlier:HAllA	iron_ion_homeostasis	signaling_process	0.0	0.692248882945	0.0261796116428
Outlier:HAllA	cell_redox_homeostasis	membrane_lipid_metabolic_process	0.0	0.732108195654	0.0226431132866
Outlier:HAllA	ileal	ribonucleotide_metabolic_process	0.0	0.882562307001	0.00977216224727
Outlier:Both	nucleoside_metabolic_process	peptidoglycan_based_cell_wall_biogenesis	0.0	3.15573446409e-176	0.984842657558
Outlier:Both	macromolecule_biosynthetic_process	rRNA_modification	0.0	2.65509693616e-83	0.897333726137
Outlier:HAllA	coenzyme_metabolic_process	locomotion	0.0	0.608216183118	-0.0339022257761
Outlier:Both	cell_wall_organization_or_biogenesis	hexose_biosynthetic_process	0.0	1.68597054422e-92	0.915462828546
Outlier:Both	nucleotide_metabolic_process	purine_nucleotide_biosynthetic_process	0.0	2.95642890353e-164	0.980676953037
Outlier:Both	nucleobase__nucleoside_and_nucleotide_biosynthetic_process	purine_nucleoside_triphosphate_biosynthetic_process	0.0	2.1570025517e-118	0.950666679633
Outlier:HAllA	cellular_component_morphogenesis	cellular_protein_complex_disassembly	0.0	0.825832008623	0.0145564427476
Outlier:Both	nucleobase__nucleoside__nucleotide_and_nucleic_acid_metabolic_process	pantothenate_biosynthetic_process	0.0	1.09338731327e-105	0.935826165865
Outlier:HAllA	serine_family_amino_acid_catabolic_process	transcription_termination	0.0	0.646291521964	0.0303524244114
Outlier:Both	methylation	primary_metabolic_process	0.0	3.97603860433e-81	0.892472267966
Outlier:Both	cofactor_biosynthetic_process	porphyrin_metabolic_process	0.0	1.37681147034e-82	0.895762556122
Outlier:HAllA	cell_motility	oxidation_reduction	0.0	0.683784356669	-0.0269399470186
Outlier:Both	hexose_metabolic_process	tRNA_aminoacylation_for_mitochondrial_protein_translation	0.0	1.12155686331e-80	0.891435594052
Outlier:Both	cellular_process	glycolysis	0.0	1.23904580929e-83	0.898052757357
Outlier:Both	alcohol_metabolic_process	cellular_amino_acid_and_derivative_metabolic_process	0.0	4.85200154307e-82	0.894542896974
Outlier:None	pancol	RNA_modification	0.17	0.939376221157	0.00503124056442
Outlier:Both	glutamine_family_amino_acid_biosynthetic_process	indolalkylamine_metabolic_process	0.0	4.14184482031e-86	0.903265220508
Outlier:Both	cell_wall_organization_or_biogenesis	polysaccharide_biosynthetic_process	0.0	1.91492258085e-99	0.926910644572
Outlier:Both	RNA_modification	glycosaminoglycan_biosynthetic_process	0.0	1.30758701879e-110	0.942057444237
Outlier:Both	ciliary_or_flagellar_motility	locomotion	0.0	6.62596749152e-189	0.988273660296
Outlier:Both	carboxylic_acid_metabolic_process	histidine_metabolic_process	0.0	3.86519424184e-90	0.911157359381
Outlier:Both	molybdopterin_cofactor_biosynthetic_process	quinone_cofactor_metabolic_process	0.0	4.26972180059e-82	0.894667371112
Outlier:Both	amino_acid_activation	transcription_termination	0.0	1.86159667333e-127	0.959060039048
Outlier:HAllA	flagellum_organization	small_molecule_metabolic_process	0.0	0.57690932679	-0.0368950937852
Outlier:Both	aminoglycan_metabolic_process	transcription_termination	0.0	2.17231558857e-124	0.956397234457
Outlier:HAllA	cellular_polysaccharide_metabolic_process	monocarboxylic_acid_metabolic_process	0.0	0.697710920985	0.0256908030469
Outlier:HAllA	DNA_mediated_transformation	cellular_component_assembly	0.0	0.667380805621	-0.0284236537223
Outlier:HAllA	coenzyme_catabolic_process	glucan_metabolic_process	0.0	0.615430307883	-0.0332224632926
Outlier:HAllA	DNA_geometric_change	biotin_metabolic_process	0.0	0.78312556984	-0.0182072699343
Outlier:Both	peptidoglycan_metabolic_process	purine_nucleoside_metabolic_process	0.0	6.65305944517e-113	0.944744208301
Outlier:HAllA	establishment_of_protein_localization	indole_derivative_metabolic_process	0.0	0.557815107053	0.038757642715
Outlier:None	antibiotics	nucleoside_triphosphate_metabolic_process	0.91	0.708605676039	0.0247199286424
Outlier:Both	amino_acid_activation	one_carbon_metabolic_process	0.0	1.70447377961e-99	0.926987792924
Outlier:Both	cellular_biosynthetic_process	purine_ribonucleotide_metabolic_process	0.0	3.24230463063e-101	0.929563542062
Outlier:HAllA	drug_transport	hexose_catabolic_process	0.0	0.584432780839	0.036169214127
Outlier:HAllA	locomotion	small_molecule_metabolic_process	0.0	0.714500993811	-0.0241967854069
Outlier:HAllA	indole_derivative_biosynthetic_process	putrescine_transport	0.0	0.589308805891	-0.0357010727514
Outlier:HAllA	DNA_metabolic_process	lipid_catabolic_process	0.0	0.768019948929	-0.0195113265164
Outlier:Both	purine_base_biosynthetic_process	tRNA_metabolic_process	0.0	2.26472283706e-104	0.9340452445
Outlier:HAllA	nucleoside_phosphate_metabolic_process	quinone_cofactor_biosynthetic_process	0.0	0.695130565016	-0.0259215488335
Outlier:None	immunosup	cofactor_biosynthetic_process	0.29	0.951399050476	-0.00403207063555
Outlier:Both	hexose_catabolic_process	tRNA_aminoacylation_for_mitochondrial_protein_translation	0.0	2.18526520938e-107	0.93805203457
Outlier:HAllA	heme_metabolic_process	lipid_transport	0.0	0.882597376977	0.00976922285336
Outlier:HAllA	establishment_or_maintenance_of_cell_polarity	pyruvate_metabolic_process	0.0	0.65076443586	0.0299412497927
Outlier:Both	coenzyme_biosynthetic_process	heterocycle_biosynthetic_process	0.0	2.09370065052e-97	0.923728039101
Outlier:None	antibiotics	lipopolysaccharide_metabolic_process	0.3	0.971263877871	-0.00238307538434
Outlier:HAllA	peptidoglycan_biosynthetic_process	signaling_process	0.0	0.661905179093	0.0289220703979
Outlier:Both	nucleoside_triphosphate_metabolic_process	ribonucleoside_triphosphate_metabolic_process	0.0	2.12434952439e-257	0.997055030644
Outlier:Both	peptidoglycan_based_cell_wall_biogenesis	protein_complex_disassembly	0.0	6.61030428078e-158	0.97801619059
Outlier:None	smoker	DNA_geometric_change	0.71	0.841845356102	-0.0131993793379
Outlier:HAllA	disaccharide_transport	translational_elongation	0.0	0.620172546146	0.0327775155929
Outlier:HAllA	DNA_metabolic_process	quinone_cofactor_metabolic_process	0.0	0.973853745869	0.00216821843752
Outlier:None	ileal	histidine_biosynthetic_process	0.61	0.601306820857	-0.0345566254601
Outlier:Both	nucleoside_phosphate_metabolic_process	pyruvate_metabolic_process	0.0	1.16232269813e-102	0.931654342751
Outlier:Both	monosaccharide_catabolic_process	pyruvate_metabolic_process	0.0	1.50706264194e-90	0.911919655491
Outlier:Both	organic_acid_metabolic_process	small_molecule_catabolic_process	0.0	1.66363408596e-84	0.899921708814
Outlier:Both	cellular_ketone_metabolic_process	oxidoreduction_coenzyme_metabolic_process	0.0	2.17865199421e-113	0.945295565452
Outlier:Both	purine_nucleoside_metabolic_process	tRNA_modification	0.0	2.43097320344e-94	0.918669159727
Outlier:Both	cellular_component_macromolecule_biosynthetic_process	tRNA_modification	0.0	1.56966648267e-90	0.911886856295
Outlier:HAllA	aminoglycan_biosynthetic_process	cellular_biogenic_amine_catabolic_process	0.0	0.582867773067	-0.0363198502874
Outlier:HAllA	cell_wall_macromolecule_metabolic_process	flagellum_assembly	0.0	0.873475815926	0.0105344108416
Outlier:HAllA	cellular_amino_acid_derivative_metabolic_process	organic_anion_transport	0.0	0.732639548458	-0.0225964230133
Outlier:Both	cell_wall_biogenesis	nucleoside_triphosphate_metabolic_process	0.0	1.02729979435e-84	0.900364997787
Outlier:HAllA	fermentation	regulation_of_anatomical_structure_morphogenesis	0.0	0.790902369676	-0.0175386680773
Outlier:HAllA	cellular_lipid_metabolic_process	flagellum_organization	0.0	0.686430930641	-0.026701839931
Outlier:HAllA	ileal	purine_nucleotide_biosynthetic_process	0.0	0.900867537107	0.0082403717079
Outlier:HAllA	cell_motility	lipid_metabolic_process	0.0	0.564723826381	-0.0380802737467
Outlier:HAllA	coenzyme_metabolic_process	flagellum_assembly	0.0	0.890111426645	-0.00913986400895
Outlier:HAllA	purine_ribonucleoside_biosynthetic_process	response_to_inorganic_substance	0.0	0.760383877825	0.0201733892079
Outlier:HAllA	carboxylic_acid_biosynthetic_process	membrane_lipid_biosynthetic_process	0.0	0.687840573692	0.0265751575199
Outlier:Both	nucleobase__nucleoside_and_nucleotide_biosynthetic_process	nucleobase__nucleoside_and_nucleotide_interconversion	0.0	9.02558627502e-146	0.971853845648
Outlier:Both	nucleobase__nucleoside__nucleotide_and_nucleic_acid_metabolic_process	purine_ribonucleoside_triphosphate_biosynthetic_process	0.0	1.38917277602e-87	0.906235023707
Outlier:Both	cell_wall_biogenesis	tRNA_aminoacylation_for_mitochondrial_protein_translation	0.0	6.72403173535e-89	0.908802949033
Outlier:Both	carbohydrate_metabolic_process	cellular_response_to_external_stimulus	0.0	2.96355063599e-81	0.892764152037
Outlier:HAllA	aromatic_amino_acid_family_catabolic_process	glucose_metabolic_process	0.0	0.586711807121	0.035950184668
Outlier:Both	heterocycle_metabolic_process	response_to_stimulus	0.0	2.94645842065e-95	0.920217610853
Outlier:HAllA	fat_soluble_vitamin_metabolic_process	glucan_metabolic_process	0.0	0.647434560069	-0.030247239795
Outlier:HAllA	membrane_lipid_metabolic_process	tryptophan_biosynthetic_process	0.0	0.883602613964	-0.00968497692883
Outlier:Both	nucleoside_phosphate_metabolic_process	protein_complex_disassembly	0.0	2.10712912672e-97	0.923723607685
Outlier:Both	cellular_iron_ion_homeostasis	iron_ion_homeostasis	0.0	0.0	1.0
Outlier:Both	peptidoglycan_metabolic_process	secretion	0.0	2.93848796196e-89	0.909491970168
Outlier:Both	glutamine_family_amino_acid_metabolic_process	oxoacid_metabolic_process	0.0	1.15671187599e-144	0.971210577856
Outlier:HAllA	locomotory_behavior	oxoacid_metabolic_process	0.0	0.797893251422	-0.0169391523905
Outlier:Both	nucleobase__nucleoside_and_nucleotide_interconversion	one_carbon_metabolic_process	0.0	4.06083913494e-95	0.919984227668
Outlier:HAllA	putrescine_transport	tRNA_aminoacylation_for_mitochondrial_protein_translation	0.0	0.798109149764	-0.0169206598776
Outlier:HAllA	stool	nucleobase__nucleoside_and_nucleotide_biosynthetic_process	0.0	0.609147638827	-0.0338142589666
Outlier:Both	thiamin_biosynthetic_process	vitamin_metabolic_process	0.0	6.50614557698e-109	0.939983155302
Outlier:Both	macromolecule_biosynthetic_process	ribonucleotide_biosynthetic_process	0.0	4.04809866371e-121	0.953362187084
Outlier:Both	cellular_metabolic_process	metabolic_process	0.0	5.07753026529e-237	0.995560051899
Outlier:Both	monosaccharide_metabolic_process	primary_metabolic_process	0.0	1.01715470141e-88	0.90845636394
Outlier:Both	cell_wall_organization_or_biogenesis	tRNA_modification	0.0	2.78139933947e-84	0.899446807703
Outlier:HAllA	cellular_iron_ion_homeostasis	cellular_polysaccharide_biosynthetic_process	0.0	0.900281273901	0.00828935817809
Outlier:HAllA	lipopolysaccharide_metabolic_process	response_to_temperature_stimulus	0.0	0.795795712545	-0.0171188832772
Outlier:Both	one_carbon_metabolic_process	tRNA_aminoacylation	0.0	1.70447377961e-99	0.926987792924
Outlier:HAllA	chorismate_metabolic_process	phosphoenolpyruvate_dependent_sugar_phosphotransferase_system	0.0	0.715440077583	-0.0241135918149
Outlier:Both	mitochondrial_translation	nitrogen_compound_metabolic_process	0.0	4.93353675651e-102	0.930754277729
Outlier:HAllA	Mo_molybdopterin_cofactor_biosynthetic_process	protein_complex_disassembly	0.0	0.911575278465	-0.00734642548303
Outlier:HAllA	amine_transport	cellular_amino_acid_derivative_catabolic_process	0.0	0.676391667237	0.0276069067465
Outlier:Both	nucleobase__nucleoside_and_nucleotide_metabolic_process	small_molecule_biosynthetic_process	0.0	9.40078474738e-82	0.893896424957
Outlier:None	pancol	phospholipid_metabolic_process	0.63	0.789440330831	0.0176642274068
Outlier:HAllA	DNA_metabolic_process	flagellum_assembly	0.0	0.576967496774	-0.0368894645431
Outlier:Both	cellular_amino_acid_derivative_biosynthetic_process	nucleobase_metabolic_process	0.0	1.00893133651e-83	0.898245672845
Outlier:HAllA	cellular_protein_complex_disassembly	molybdopterin_cofactor_biosynthetic_process	0.0	0.911575278465	-0.00734642548303
Outlier:None	gender	cellular_lipid_catabolic_process	0.36	0.993816308115	0.000512706091549
Outlier:HAllA	ATP_synthesis_coupled_electron_transport	purine_base_biosynthetic_process	0.0	0.750609178334	-0.021023825455
Outlier:HAllA	indolalkylamine_biosynthetic_process	putrescine_transport	0.0	0.589308805891	-0.0357010727514
Outlier:Both	nucleoside_triphosphate_metabolic_process	tRNA_aminoacylation	0.0	8.33563202722e-143	0.970098128282
Outlier:None	age	nucleobase_biosynthetic_process	0.87	0.691475630054	-0.0262489259179
Outlier:Both	cellular_biosynthetic_process	histidine_biosynthetic_process	0.0	5.26853268085e-85	0.900975618592
Outlier:Both	lysine_biosynthetic_process_via_diaminopimelate	small_molecule_biosynthetic_process	0.0	2.55980315151e-89	0.909606273406
Outlier:Both	NADP_metabolic_process	glucose_metabolic_process	0.0	5.84511993044e-120	0.95223481535
Outlier:HAllA	cell_projection_organization	vitamin_K_biosynthetic_process	0.0	0.955215188655	-0.00371512815935
Outlier:None	smoker	cellular_amino_acid_biosynthetic_process	0.6	0.825774009642	-0.014561368651
Outlier:Both	cell_wall_macromolecule_biosynthetic_process	tRNA_modification	0.0	1.56966648267e-90	0.911886856295
Outlier:HAllA	purine_ribonucleoside_monophosphate_metabolic_process	response_to_toxin	0.0	0.791514775181	-0.0174860936072
Outlier:Both	cellular_cell_wall_organization_or_biogenesis	cellular_metabolic_compound_salvage	0.0	1.42612652766e-109	0.940797894271
Outlier:None	molybdopterin_cofactor_metabolic_process	tRNA_modification	0.21	0.658096810845	0.029269688853
Outlier:Both	biosynthetic_process	nucleoside_triphosphate_biosynthetic_process	0.0	7.15319607132e-104	0.933356095154
Outlier:Both	cellular_protein_complex_disassembly	ribosome_assembly	0.0	4.06983727787e-216	0.993232270212
Outlier:Both	arginine_biosynthetic_process	riboflavin_and_derivative_metabolic_process	0.0	2.48676366151e-83	0.897395730804
Outlier:Both	carboxylic_acid_metabolic_process	small_molecule_metabolic_process	0.0	8.37754707474e-144	0.970700970368
Outlier:HAllA	nucleobase__nucleoside_and_nucleotide_interconversion	response_to_starvation	0.0	0.627786105633	0.0320662234768
Outlier:HAllA	hexose_transport	locomotion	0.0	0.575184926917	0.037062088899
Outlier:Both	DNA_conformation_change	purine_base_biosynthetic_process	0.0	4.21409800151e-88	0.907255543008
Outlier:HAllA	glutamine_family_amino_acid_catabolic_process	secretion_by_cell	0.0	0.714832966053	-0.0241673715892
Outlier:Both	glycosaminoglycan_biosynthetic_process	tRNA_processing	0.0	6.1190419283e-102	0.930619150504
Outlier:Both	RNA_methylation	peptidoglycan_based_cell_wall_biogenesis	0.0	7.46624520423e-85	0.900657309174
Outlier:None	smoker	glycosaminoglycan_biosynthetic_process	0.67	0.812611177983	-0.0156814327248
Outlier:Both	cellular_nitrogen_compound_metabolic_process	nucleoside_metabolic_process	0.0	1.32238597532e-91	0.913857483026
Outlier:HAllA	electron_transport_chain	nucleobase__nucleoside__nucleotide_and_nucleic_acid_metabolic_process	0.0	0.60078731929	0.0346059639203
Outlier:Both	biosynthetic_process	ribonucleoside_triphosphate_biosynthetic_process	0.0	1.52061774922e-100	0.928570301344
Outlier:Both	cellular_amino_acid_derivative_biosynthetic_process	cellular_aromatic_compound_metabolic_process	0.0	2.55551326103e-106	0.936662600018
Outlier:HAllA	nucleoside_triphosphate_biosynthetic_process	polyamine_metabolic_process	0.0	0.910316920758	-0.0074514084909
Outlier:HAllA	aerobic_respiration	purine_ribonucleoside_metabolic_process	0.0	0.949527101387	-0.00418757516244
Outlier:Both	glutamine_family_amino_acid_biosynthetic_process	tryptophan_metabolic_process	0.0	4.14184482031e-86	0.903265220508
Outlier:Both	alcohol_catabolic_process	nucleoside_monophosphate_biosynthetic_process	0.0	4.38174472552e-85	0.901143453779
Outlier:None	age	methionine_biosynthetic_process	0.26	0.864887995752	0.011256104728
Outlier:HAllA	fat_soluble_vitamin_biosynthetic_process	glucan_metabolic_process	0.0	0.647434560069	-0.030247239795
Outlier:HAllA	cellular_component_movement	iron_ion_transport	0.0	0.917353439489	0.00686459346969
Outlier:Both	energy_derivation_by_oxidation_of_organic_compounds	glycine_metabolic_process	0.0	2.69211160876e-108	0.939210335979
Outlier:HAllA	amine_catabolic_process	purine_nucleoside_metabolic_process	0.0	0.574560449109	0.0371226228
Outlier:Both	nucleoside_phosphate_metabolic_process	ribonucleoside_monophosphate_biosynthetic_process	0.0	2.80902888077e-84	0.899437650722
Outlier:HAllA	protein_transport	serine_family_amino_acid_catabolic_process	0.0	0.745747790893	-0.0214480652516
Outlier:Both	pteridine_and_derivative_biosynthetic_process	serine_family_amino_acid_catabolic_process	0.0	1.02232337604e-91	0.914059807493
Outlier:HAllA	glutamate_metabolic_process	signal_transmission	0.0	0.918749911116	-0.00674819906257
Outlier:HAllA	cellular_aldehyde_metabolic_process	oligosaccharide_metabolic_process	0.0	0.745510228539	-0.021468819002
Outlier:Both	aspartate_family_amino_acid_metabolic_process	metal_ion_transport	0.0	6.08867408429e-81	0.892047543504
Outlier:Both	pyrimidine_nucleotide_metabolic_process	pyrimidine_ribonucleotide_biosynthetic_process	0.0	8.27976880938e-147	0.972443070464
Outlier:HAllA	aminoglycan_biosynthetic_process	cellular_respiration	0.0	0.676621192918	0.0275861575413
Outlier:Both	cell_wall_biogenesis	cellular_nitrogen_compound_metabolic_process	0.0	4.70842241756e-98	0.924755013479
Outlier:Both	aspartate_family_amino_acid_biosynthetic_process	methionine_biosynthetic_process	0.0	2.76493302125e-90	0.911429282198
Outlier:Both	protein_complex_disassembly	tRNA_metabolic_process	0.0	1.62871268865e-152	0.975467517222
Outlier:HAllA	Mo_molybdopterin_cofactor_metabolic_process	purine_nucleoside_triphosphate_biosynthetic_process	0.0	0.854931951831	-0.0120944550469
Outlier:Both	purine_ribonucleotide_biosynthetic_process	pyruvate_metabolic_process	0.0	7.921767076e-87	0.904724356486
Outlier:Both	glucose_metabolic_process	nucleotide_metabolic_process	0.0	2.10822828893e-94	0.918774662195
Outlier:Both	heterocycle_biosynthetic_process	heterocycle_metabolic_process	0.0	3.89891208207e-123	0.955258076176
Outlier:Both	lysine_metabolic_process	oxidoreduction_coenzyme_metabolic_process	0.0	7.69008768762e-84	0.898500057986
Outlier:HAllA	isoprenoid_metabolic_process	putrescine_transport	0.0	0.68474373149	-0.0268535940066
Outlier:Both	nucleobase_biosynthetic_process	purine_nucleotide_metabolic_process	0.0	3.88176516236e-89	0.909260858404
Outlier:None	gender	phospholipid_catabolic_process	0.17	0.580881493183	-0.0365113052589
Outlier:HAllA	ATP_synthesis_coupled_electron_transport	secretion_by_cell	0.0	0.946838607827	-0.00441095122639
Outlier:HAllA	behavior	organic_acid_metabolic_process	0.0	0.783758597734	-0.0181527778188
Outlier:Both	mitochondrion_organization	nucleobase__nucleoside_and_nucleotide_metabolic_process	0.0	2.78435950412e-151	0.974843875079
Outlier:Both	flagellum_organization	ubiquinone_biosynthetic_process	0.0	1.23269015119e-93	0.917456530833
Outlier:Both	generation_of_precursor_metabolites_and_energy	phospholipid_metabolic_process	0.0	2.38538501603e-81	0.892979152228
Outlier:HAllA	Mo_molybdopterin_cofactor_biosynthetic_process	nucleobase__nucleoside_and_nucleotide_interconversion	0.0	0.752495068313	-0.0208594810803
Outlier:HAllA	putrescine_transport	tryptophan_biosynthetic_process	0.0	0.589308805891	-0.0357010727514
Outlier:None	smoker	nucleoside_monophosphate_biosynthetic_process	0.95	0.727065182322	-0.0230868080278
Outlier:HAllA	disaccharide_transport	generation_of_precursor_metabolites_and_energy	0.0	0.735631659832	0.0223337124916
Outlier:Both	alcohol_catabolic_process	glucose_catabolic_process	0.0	5.73761483622e-142	0.96958225045
Outlier:Both	DNA_metabolic_process	cellular_metabolic_compound_salvage	0.0	5.85735724141e-94	0.918014637642
Outlier:Both	cellular_amino_acid_and_derivative_metabolic_process	oxidoreduction_coenzyme_metabolic_process	0.0	8.40401006163e-124	0.955867230382
Outlier:Both	coenzyme_metabolic_process	organic_acid_biosynthetic_process	0.0	2.22033795564e-112	0.944142570177
Outlier:Both	lysine_metabolic_process	small_molecule_biosynthetic_process	0.0	7.71513403585e-110	0.941124428411
Outlier:HAllA	monosaccharide_transport	pyrimidine_ribonucleotide_biosynthetic_process	0.0	0.757288106371	-0.0204423681963
Outlier:Both	cellular_cell_wall_organization_or_biogenesis	transcription_termination	0.0	2.63931433014e-150	0.974338403416
Outlier:Both	gluconeogenesis	nucleoside_metabolic_process	0.0	8.17745004671e-94	0.917764846759
Outlier:Both	monosaccharide_metabolic_process	nucleotide_metabolic_process	0.0	5.90239753612e-93	0.916268794646
Outlier:Both	cellular_amino_acid_derivative_biosynthetic_process	oxidoreduction_coenzyme_metabolic_process	0.0	1.1808205146e-91	0.913946559215
Outlier:Both	fatty_acid_catabolic_process	organic_acid_catabolic_process	0.0	4.38268076452e-91	0.912908898517
Outlier:None	gender	coenzyme_catabolic_process	0.56	0.962667918917	0.00309639264552
Outlier:HAllA	amino_acid_activation	molybdopterin_cofactor_biosynthetic_process	0.0	0.995497803304	-0.00037328717638
Outlier:None	age	nucleotide_metabolic_process	0.92	0.971157815559	0.00239187489204
Outlier:HAllA	lipopolysaccharide_biosynthetic_process	response_to_temperature_stimulus	0.0	0.795795712545	-0.0171188832772
Outlier:HAllA	asexual_sporulation	flagellum_organization	0.0	0.989146551106	0.000899906498752
Outlier:Both	mitochondrial_translation	protein_metabolic_process	0.0	2.13707566698e-155	0.976865014026
Outlier:Both	NADP_metabolic_process	carbohydrate_catabolic_process	0.0	1.77376311395e-114	0.946513766138
Outlier:HAllA	cellular_component_macromolecule_biosynthetic_process	flagellum_organization	0.0	0.912623285756	0.00725900575123
